Reference	Sentence	Itkonen	Matrix	Embed	Case	Note
wordpress.com	"<s> Lähdön jälkeen aloin jo ohjelmoimaan öljyn lisäystä varten jonkin BMW-huollon määränpääksi, mutta vilkaisin kuitenkin vielä uudestaan mitä pyörän tietokone tänään sanoo öljymäärästä, ja eihän se enää mitään herjannut, päinvastoin sanoi öljyn olevan OK. </s>"	TRUE	ACT	PRED	NOM	"NP is ""OK"""
wordpress.com	<s> Eikö pitäisi ennemmin tutkia niiden vanhempien mielentila jotka eivät osaa lapsilleen kertoa kyseessä olevan fiktion? </s>	TRUE	ACT	EXIST	GEN	"""kyseessä olevan"" NP"
munfoorumi.com	"<s> "" Koska Kuulan Paavali -teologia lähtee päättelystä, ettei Jeesus ollut Paavalille Jumala, niin kirjalta putoaa pohja pois, koska Paavali kertoo Jeesuksen olevan Jumala. </s>"	TRUE	ACT	PRED	NOM	
energiaperhe.fi	"<s> Olga on jo kerran ehtinyt kutsua paikalle huoltomiehen, kun luuli pumpun olevan rikki. </s>"	FALSE				"NP is ""rikki"""
bellablogit.fi	"<s> Aina kun katsoin peiliin, aivoni lähettivät virheellisiä signaaleja luullessaan kultakorvisten olevan juhlaverme. </s>"	TRUE	ACT	PRED	NOM	"matrix verb ""luullessaan"" is nonfinite"
co2-raportti.fi	"<s> Toteaisin vielä, että eihän edes IPCC väitä ilmastojärjestelmän olevan epästabiilin. </s>"	TRUE	ACT	PRED	GEN	
ukkosmaine.com	"<s> Kävin ilmoittamassa asiasta dj-veikoille, ja he sanoivat homman olevan ok. </s>"	TRUE	ACT	PRED	NOM	"NP is ""OK"""
saavutettava.fi	"<s> Ajattelin vaan olla masentamatta sivujen tekijöitä heti kättelyssä (tosin kättely viittaa jälleen atk-sanastossa ihan muualle, joten anteeksi kielikuva!:-) Totta on sekin, että ruudunluku kertoo kyseessä olevan grafiikan. </s>"	TRUE	ACT	EXIST	GEN	"""kyseessä olevan"" NP"
lafiff.net	"<s> Kanoninkin olet polkenut tossusi alle, joten hän luulee sanasi olevan laki. </s>"	TRUE	ACT	PRED	NOM	
kauhanoja.fi	"<s> Autot ne ajavat tuhatta ja sataa, luulisi Hattulanmäentien olevan Formularata. </s>"	TRUE	ACT	PRED	NOM	
